"CO_URF";"NO_URF"
"0815300";"0815300 - SAO SEBASTIAO"
"0715400";"0715400 - RIO DE JANEIRO"
"0415100";"0415100 - IRF/RECIFE"
"1017600";"1017600 - AEROPORTO SALGADO FILHO - PORTO ALEGRE"
"0510600";"0510600 - ILHEUS"
"0230151";"0230151 - BRASILEIA"
"0217700";"0217700 - AEROPORTO INTERNACIONAL DE BELEM"
"0925251";"0925251 - IMBITUBA"
"0917700";"0917700 - AEROPORTO INTERN. AFONSO PENA (PR)"
"0145351";"0145351 - BELA VISTA"
"0217602";"0217602 - BARCARENA"
"1010109";"1010109 - NAO INFORMADO"
