CO_NCM;NO_NCM_ING
85414015;Photo-thyristors not mounted
85414016;Solar cells not mounted
87043120;Motor vehicles with motor explosion/tipp.body wei<=5t
87043130;Motor vehic.refriger.etc.with motor explosion,wei<=5t
87039000;Oth.passengers automobiles,incl.of mixed use,etc.
90104900;Oth.appar.f/projection,etc of circuits patterns,etc.
90105010;Proc.equipment f/electronic treatment of images
90105020;Apar p/ revel autom chapas de fotopol c/ suport metalic
90105090;Oth.appar.and equip.f/photog.(incl.cinem.)labor.etc.
90106000;Projection screens f/photographic/cinematographic
90109010;Parts and access.f/autom.developed photographic,etc
90109090;Parts and access.f/autom.developed photographic,etc
90111000;Stereoscopic optical microscopes
90112010;Microscopes for photomicrography
90112020;Microscopes for cinephotomicrography
90112030;Microscopes for microprojection
90118010;Binocular microscopes with mobile specimen stage
90118090;Other optical microscopes
90119010;Parts of access.f/microscopes for photomicrography,etc
90119090;Parts and accessories for optical microscopes
90121010;Electronic microscopes
90121090;Other microscopes and diffraction
90129010;Parts and accessories for electronic microscopes
90129090;Parts and access.f/oth.microscopes and diffraction
85245200;Other magnetic tapes recorded, 4mm<w<=6.5mm
85245300;Other magnetic tapes recorded, w>6.5mm
85246000;Cards incorporating a magnetic stripe, recorded
85249100;Oth.prepar.recorded media f/reprod.dif.phen.sound/image
90082090;Microfiche readers/other microform,etc.
90083000;Other image projectors
90084000;Photographic (oth.than cinemat.)enlargers and reducers
90085000;Projectors and apparatus for enlarging or reducing
90089000;Parts and access.f/image projectors,etc
90091100;Appar.f/repr.original image direc.onto copy,electr.
85232923;Magnetic tapes-type n/record. w<50.8mm, on reels/cas.
85232924;Magnetic tapes  cassette  for video rec. w>6.5mm
85232929;Other magnetic tapes, no recorded
38247200;Other mix. cont. bromochlorodifluoromethane,bromotrifluoromethane and dibromotetrafluoroethane
38247300;Other mixtures contain. hydrobromofluorocarbons (hbfc)
38247410;Prepared based on chlorodifluoromethane/pentafluoroethane
38247420;Prepared based on chlorodifluoromethane/chlorotetrafluoroethane
38247490;Other products prepared based on organic compounds
30041015;Medicament cont.penicillin g procaine, in doses
30041019;Medicament cont.oth.penicillin/its derivatives, in doses
30041020;Medicament cont.streptomycins/its derivatives, in doses
30042011;Medicament c/chloramphenicol, its palmitate, etc.in doses
30042019;Medicament c/amphenicols/other salts, in doses
30042021;Medicament c/erythromycin or its salts, in doses
30042029;Oth.medicam.c/macrolides/derivatives, in doses
38247190;Ot.mixtures c/acycl.perhalog.hydroc.c/fluorine/chlorine
30042031;Medicament c/rifamycin sv sodium, in doses
30042032;Medicament containig rifampicin, in doses
30042039;Other medicaments cont.ansamycin/deriv., in doses
30042041;Medicament contain.lincomycin hydrochloride, in doses
30042049;Other medicaments cont.lincosamides/deriv., in doses
30042051;Medicament contain.cephalothin sodium, in doses
30042052;Medicam.con.cephalothin/cephalexin monohydrate, in doses
30042059;Other medicaments cont.cephalosporin, etc.in doses
30042061;Medicament c/gentamycin sulphate, in doses
30042062;Medicament containing daunorubicin, in doses
30042063;Medicament containing pirarubicin, in doses
30045060;Medicament c/retinoic acid(tretinoin), in doses
