CO_NCM;NO_NCM_ING
85171213;Analogical movable terminals used in vehicles automobiles
85171219;Other appliances of radio-telecom, radio-telegraph, analog.
85171221;Apparatus/equip. of trunk system,portable terminal
85171222;Fixed terminals of trunk system, without energy source
85167910;Electrotermics pots, domestic
85171223;Mobile terminals of trunk system term., used in vehicles /automobiles
84502010;Continuous tunnel of washing mach., cap>10kg dry clothes
84502090;Oth.washing machines, capacity>10kg of dry clothes
84509010;Parts of washing machines, cap>10kg of dry clothes
85176111;Appar./equip. for station of transm.rad.bidir.sys <=112kbts/s
85176119;Other dig.transm.rec.appar./equip for radiotel.freq<15ghz
85176120;Appar./equip. of trunk system for central station
85176130;Appar./equip. of cellular telephony for base station
85176141;Appar/equip.transm.telec.sat.main stat.fix.term.without antenna
85176142;Vsat station, without reflector antenna set
85176143;Digital appar/equip. operating in band c, ku, l or s
51113010;Fabric of wool, card.afieltr.c/synt.fibre etc.p/pels.tem
51113090;Ot.fabrics of wool/fine animal hair, card.c/fib.syn/art
51119000;Other fabrics of wool or of fine animal hair, carded
52122300;Other fabrics of cotton, dyed, weight>200g/m2
52122400;Ot.fabrics of cotton, yarns of differ.colours, w>200g/m2
52122500;Oth.fabrics of cotton, printed, weight>200g/m2
53011000;Flax, raw or retted
53012110;Flax broken
53012120;Flax scutched, but not spun
53012910;Flax combed, but not spun
53012990;Flax processed of another form, but not spun
53013000;Flax tow and waste
53021000;Rue hemp, raw or retted
53029000;True hemp processed, but not spun, tow, waste
53031010;Jute
53031011;Raw jute
53031012;Retted raw
53031090;Other textile bast fibres, raw or retted
53039010;Jute proces.in another form , but n/spun, tow, waste
53039090;Oth.textile bast fibres proces.in another form, tow, etc
53041000;"Sisal and other textile fibres of the ""agave"", raw"
53049000;"Sisal/ot.textile fibres of the ""agave"", proc.n/spun, etc"
53050010;Abaca (manila hemp) raw
53050090;Other vegetable textile fibres, tow and waste, processed
84669330;Parts and accessories of lathes for metals
84669340;Parts and acces.mac.tools f/drilling, milling, etc.metals
84669350;Parts and acces.mach.tools f/sharpening, etc.metals
84669360;Parts and acces.mach.tools f/planing, etc.gear
37039010;Paper forcolour photocomposition, sensitised unexposed
37039090;Ot.paper, cards and textiles, sens.unexposed
37040000;Photographic plates, film, etc.exposed but n/developed
37051000;Photographic plates, fotograp.film, expos.foroffset repr.
37052000;Microfilms exposed and developed
37059010;Photo masks on glass sheet, positive, etc.
37059090;Other photographic plates and film, exposed/developed
37061000;Cinematographic film, exposed and developed, w>=35mm
37069000;Other cinematographic film exposed and developed
38170020;Mixed alkylnaphthalenes
38171000;Mixed alkylbenzenes
38172000;Mixed alkylnaphthalene
38180010;Chemical elements doped of silicon, foruse in electronics
38180090;Other chemical elements doped foruse in electronics
38190000;Liquids forhydraulic brakes, etc.with petr.oils<=70%
38200000;Anti-freezing preparations and prepared de-icing fluids
38210000;Prepar.culture media for development of micro-organisms
38220000;Diagnostic/laboratory reagents on a backing/prepared
38220010;Decisive reagents the compon.blood/urine, paper sup.etc
38220090;Other diagnostic or laboratory reagents
38231100;Stearic acid (industrial monocarboxylic fatty acids)
38231200;Oleic acid (industrial monocarboxylic fatty acids)
38231300;"Tall oil fatty acids ""tall oil"""
38231900;Oth.industrial monocarboxylic fatty acids/ac.oils.refin
39119012;Polieteremides and its copolymers, with load, primary forms
39119013;Polieteremides and its copolymers, with load, primary forms
39119014;Poli(sulfeto de fenileno)
39119019;Polysulph, polysulphones, etc.with filler, primary forms
39119021;Chemically mod.polyterpenes, without filler, prim.foms
39119022;Poly(phenylene sulphide), with filler, primary forms
39119023;Polyethylamines, with filler, primary forms
39119024;Polieteremides and its copolymers, without load, primary forms
39119025;Polieteremides and its copolymers, without load, primary forms
39119026;Polysulphones
39119027;Hexadimethrine chloride
38151900;Other supported catalysts
38151910;Supported catalysts, active subst.=vanadium pentoxide
38151920;Supported catalysts, active subst.=copper/its compounds
38151930;Supported catalysts, active subst.=molybdenium/compounds
38151990;Other supported catalysts
38159010;Other supported catalytic for cracking petroleum oils
38159091;Other prepar.catalytic, active subst.isoprenyl aluminium
84512910;Oth.machines f/dry clothes f/microwaves, prod>=120 kg/h
84512990;Other machines for dry clothes
84513010;Ironing machines and presses f/clothes, automatics
84513090;Ot.iron.mach.and presses f/clothes, incl.fusing presses
84513091;Ironing presses for clothers, weighing<=14kg
84513099;Oth.ironing machines and presses, incl.fusing presses
84514010;Machines f/washing yarns/fabric/artic.of textile mater.
84514021;Machines f/dyeing cylindrical fabrics, static presur.etc
84514029;Oth.machines f/dyeing or bleaching yarns or fabrics
84514090;Machines f/dyeing or bleaching oth.textile materials
84714932;System of printer, s<30ppm, transfer thermal solid wax
84714933;System of printer, s<30ppm, laser, monochr.wi>230mm
84714934;System of printer, s<30ppm, laser, etc.poli-crhome
44123100;Plywood with ply of tropical wood thickness <6mm
48103110;Kraft paper, blea.w<=150g/m2, chem.fibre>95%, roll w<=15cm
48103190;Oth.kraft paper, w<=150g/m2, chem.fibre>95%, roll w<=15cm
48103200;Paper/kraft card, bleac.proc.fibre chem.>95%, w>150g/m2
48103210;Kraft bleac.paper w>150g/m2, rolls w<=15cm
48103290;Oth.kraft papers, w>150g/m2, chem.fibre>95%, rolls w<=15cm
48103900;Oth.kraft papers/paperb., coated, kaolin, etc.rolls/sheets
48103910;Oth.kraft papers/paperb.rolls w<=15cm, sheets w<=360mm
48103990;Oth.kraft papers/paperb., exc.for writing, etc.
48109100;Oth.papers/paperb.multiple layers, in rolls/sheets
48109210;Multi-ply paper, strip/roll w<=15cm, sheet<=360mm
48109290;Oth.multi-ply paper, coated with kaolin, rolls/sheets
39211400;Other plates, etc.regenerated cellulose, alveolar
39211900;Other plates, etc.of other plastics, alveolar
39219011;Plates, etc.melamine-formaldeh.resin, stratified
39219012;Other plates, etc. of other plastics with polyethylene support
39219019;Other plates, etc.of other plastics, stratified
39219020;Other plates, etc.of other plastics, with supp./reinfor.
39219022;Oth.plates, etc.of poly(ethylene) with rein.resin impreg
39219029;Other plates, etc.of other plastics, with supp./reinfor.
39219030;Other plates, etc.subst.poly(ethylene terephthalate)etc.
39219090;Other foils, sheets, film, plates and strip, of plastics
41041112;Whole leath.of bovines, slipts(than grain split)<=2.6m2
41041113;Oth.leathers of bovines, n/slipt wet pre-tanned, veg.
39079918;Polybutyl.terephthalate in liquid and pastes
39079919;Polybutyl.terephthalate in other primary forms
39079991;Other polyethers in liquid and pastes
39079992;Poly (epsilon caprolactone)
41041930;Oth.leathers/skins, bovines, wet state veg.pre-tanned
41041940;Other leathers/skins, bovines, including buffalos, wet
41041990;Leathers/skins, equine, wet
44111390;Other fibreboards of wood or ligenous materials t>5mm, t<9mm
44111391;Fibreboards of wood 5mm<thickness<9mm, coverd by protecting film
44111399;Other fibreboards of wood, 5mm<thickness<9mm
44111410;Fibreboards of wood, not mechanically worked t>9mm
44111490;Fibreboards of wood or ligenous materials t>9mm
44111900;Other fibreboard of wood, density>0.8g/cm3
44112100;Fibreboard of wood, n/mechan.worked 0.5<d<=0.8g/cm3
44112900;Oth.fibreboard of wood, 0.5g/cm3<d<=0.8g/cm3
44113100;Fibreboard of wood, n/mechally worked 0.35<d<=0.5g/cm3
44113900;Other fibreboard of wood, 0.35<d<=0.5g/cm3
44119100;Other fibreboard of wood, n/mechally worked n/coved
44119210;Fibreboards of wood, not mechanically worked d>0.8g/cm3
37031010;Photog.paper, etc.forcolour phot.sen.unex.rolls, w>610mm
48102100;Light weight coat.paper used forwrit.etc.fib.mec>10%
48102210;Light weight coat.paper, fib.>10%, w<=15cm, strip/sh.<=360
48102290;Other light weight coat.paper, fibre mechan.process>10%
48102900;Oth.paper/paperboard, forwriting, etc.fib.mech.proc>10%
48102910;Paper forwrit.etc.fibre>10%, strip/roll w<=15cm, sh.<=360m
48102990;Oth.paper/paperb.forwriting, etc.fibre mech.>10%, rolls
48103100;Kraft paper/paperb, bleac.fibre proc.chem>95%, w<=150g/m2
39221000;Baths, shower-baths, sinks and wash-basin, of plastics
39222000;Lavatory seats and covers, of plastics
39229000;Oth.articles forsanitary and hygienic uses, of plastics
39231000;Boxes, cases, crates and similar articles, of plastics
39231010;Plast.cases, used forputting up discs for laser read.syst
39231090;Oth.boxes, cases, crates, similar articles, etc.of plastics
39232110;Sacks, bags, cartridge, of ethylene polymers, cap<=1000cm³
39232190;Other sacks, bags, cartridge, of ethylene polymers
39232910;Sacks, bags, cartridge, of other plastics, cap<=1000cm³
39232990;Other sacks, bags and cartridge, of other plastics
39233000;Carboys, bottles, flasks, similar articles, of plastics
39234000;Spools, cops, bobbins and similar supports, of plastics
39235000;Stoppers, lids, caps, etc.forclose recip.of plastics
39239000;Oth.articles for the conveyance or packing, of plastics
39241000;Tableware, kitchenware, oth.household articles, of plast.
39249000;Other articles of hygiene/of dressing table, of plastic
41042100;Leathers/skins, bovines, vegetable pre-tanned
41042211;Leathers/skins, whole/half, bovines, wet blue, n/split
41042212;Leathers/skins, whole/half, bovines, wet blue, grain split
41042213;Leathers/skins, whole/half, bovines, wet blue, split(than g
41042219;"Other leathers/skins, bovines, ""wet blue"""
41042290;Oth.leathers, bovines, pre-tanned of other way
41042900;Oth.leathers/skins, of bovines/equine, tanned or retanned
41043111;Leat./skins, bovin.veg.pre-tann.forsoles, grain split n/fi
41043119;Ot.leat./skins, bov.pre-tan.prepar.grain split n/finis.
41043120;Leat./skins, bov.after tann.prepar.grain split n/finis.
41043190;Ot.leat./skins, bov./equine pre-tan.prepar.grain split
39094091;Other phenol-formaldehyde in primary forms
39094099;Other phenol-resins in primary forms
39095011;Polyurethane in solutions in organic solvent
31059011;Nitrate of sodium potassic, cont.n<=15% and k2o<=15%
31059019;Other nitrate of sodium potassic
31059090;Other fertilisers min./chem.c/nitrogen and potassium
32011000;Tanning extract, of quebracho
32012000;Tanning extracts, of wattle
32019011;Tanning extracts, of gambier
32019012;Tanning extract, of oak or chestnut
32019019;Tanning extracts of vegetable origin
32019020;Tannins
32019090;Salts, ethers, esters and other derivatives of tannins
32021000;Products synthetic organic tanning
32029011;Products tanning, with a basis of chromium salts
32029012;Products tanning, with a basis of titanium salts
32029013;Products tanning, with a basis of zirconium salts
32029019;Other products inorganic tanning
32029021;Tanning preparations, with a basis of chromium compounds
32029029;Other tanning preparations
32029030;Enzymatic preparations for pre-tanning
32030011;Hematein (coloring matter)
32030012;Fisetin (colorin matter)
32030013;Morin (cloring matter)
32030019;Other colouring matter of vegetable origin
37025412;Films forcolour photograf.unexpos.12, 24 or 36 exib.rolls
37025419;Ot.films forcolour photog.unexpos.w=35mm, l<=30m, rolls
37025491;Films forcolour photog.unexp.16<w<35mm, l<=30m, rells
37025499;Ot.films forcolour photog.unexp.16<w<35mm, l<=30m, rolls
37025510;Films forcolour photog.sen.unexp.w<35mm, l<=30m, rolls
37025590;Films forcolour photog.sen.unexp.16<w<35mm, l<=30m, rolls
37025600;Films forcolour photografic, sens.unexposed w<35mm, rolls
85053000;Electro-magnetic lifting heads
85059010;Electro-magnets
85059080;Plates, broach, dispositive magnetic, etc.of fixation
85059090;Parts of electro-magnetic couplings, clutches, etc.
85061010;Electric piles, of manganese dioxide, alkaline
85061020;Other electric piles, of manganese dioxide
84439933;Others cartridges discloser/products to turning toners
84439939;Other parts, aces. to appl. photocop. eletrostatic.
84439941;Other printing mechanism, even without print head
84439942;Other print heads
84439949;Other laser, led, lcs printing mechanism, parts and accessories
84454019;Ot.reeling machin.of textile material, automatic
84454021;Reeling machin.of textile mater, n/automat.s>=4000m/min
84454029;Other reeling machin.of textile mater, n/automatic
84454031;Machines f/making hanks, with control/automatic knotting
84454039;Other machines for making hanks
84454040;Automatic ball winding machines of textile material
84454090;Other textile winding or reeling machines
84459010;Warpers of textile material
84459020;Drawing-in and reeling machine for textile material
84459030;Warp tying-in or twisting machines of textile material
84459040;Automat.heddle-positioning mach.of textile material
84459090;Other machin.f/product./preparat.of textile yarns
84669490;Parts and acces.of oth.mach.tools f/working metals, etc.
84671110;Rotary pneumatic drills, for working in the hand
84671190;Other rotary pneumatic tools, f/working in the hand
84671900;Other pneumatic tools, for working in the hand
84672100;Drills with self-contained electric motor
84672200;Saws with self-contained electric motor
84672910;Shears with self-contained electric motor
84672991;Cutters for textiles, with self-contained electric motor
38089325;Herbicide based on paraquat dichloride, propanil, etc
38089326;Herbicide based on thriphularine
38089327;Herbicide based on imazethapyr
38089328;Other herbicides based on hexazinona
38089329;Other herbicides, presented in another way
38089331;Anti-sprouting containing bromomethane/bromochloromethane
39039010;Methacrylate-methyl-butadiene-styrene copolymers
39039020;Acrylonitrile-styrene-butyl acrylate
39039090;Othe polymers of styrene, in primary forms
39041010;Poly(vinyl chloride)obtained in suspens., primary forms
39041020;Poly(vinyl chloride)obtained in emulsion., primary forms
39041090;Other poly(vinyl chloride), in primary forms
39042100;Poly(vinyl chloride), non-plasticized, in primary forms
39042200;Poly(vinyl chloride), plasticized, in primary forms
39043000;Vinyl chloride-vinyl acetate copolymers, primary forms
39044010;Vinyl chloride-vinyl acetatecolumers, c/dibasic acid, etc
31031020;Superphosphates, cont.phosphorus pentoxide, 22%<p2o5<=45%
31031030;Superphosphates, cont.phosphorus pentoxide (p2o5)>45%
32082010;Paint of acrylic/vinyl polymers, dispersed/dissol.n/aqueous
32082011;Paint of acrylic polymers, for producing printed circuits
40121900;Other retreaded tires
40122000;Used rubber tires
40129010;Flaps for rubber tires
40129090;Protecting, bands wheelwork, etc.fortires of rubber
40131010;Inner tubes of rubber, fortires of bus, etc.m=11, 00-24
40131090;Inner tubes rubber, fortires of automobiles, etc
40132000;Inner tubes rubber, fortires of biclycles
40139000;Other inner tubes, of rubber
30043210;Medicament c/corticosteroid hormones, in doses
30043220;Medicament containing spironolactone, in doses
30043290;Medicament c/oth.deriv.hormones, analogues, in doses
30043911;Medicament c/growth hormones(somatropin)in doses
30043912;Medicament c/hgc (chorionic gonadotrophin), in doses
32074090;Ot.glass frit and other glass in powder/granules/flakes
32081010;Paint of polyesters, dispersed/dissolved n/aqueous
32081020;Varnishes of polyesters, dispersed/dissolved n/aqueous
32081030;Solutions of polyesters, dispersed/dissolved n/aqueous
38249085;Sodium methylate in methanol
38249086;Maneb, mancozeb and benzalkonium chloride
38249087;Aqueous dispers.of micro-capsules of polyurethane, etc
38159092;Other preparat.catalytic, active substance zinc oxide
38159099;Other catalytic preparations
38160011;Refract.cements/mortars, with a base of calcinated magn.
38160012;Refractory cements/mortars, with a base of sillimanite
38160019;Refractory cements and mortars
38160020;Prep.with a base refract.chromo-magnesite, zirconium, etc
38160021;Prep.with base refractory c>=50%corundum and graphite
38160029;Ot.prep.with a base refract.chromo-magnes.zirconium, etc
38160090;Other refract.concretes and similar compositions
38170010;Mixed alkylbenzenes
39095012;Polyurethane in aqueous dispersion
39095019;Other polyurethanes in aqueous dispersion
39095021;Hydroxyl.polyurethane c/propert.adhesive, in pieces, etc
39095029;Oth.polyurethanes in blocks irregular, pieces, powder, etc
39100011;Lineal pre-polymers mixtures, etc.(oil silicon)
39100012;Polydimethylsiloxane, etc.dispersion(oil silicon)
39100013;Copolymers oil dimethylsiloxane with vinyl compoun.etc
39100019;Other silicones oils in primary forms
39100020;Elastomer (silicon)
39100021;Silicon elastomer, heat vulcanized
39100029;Other silicon elastomer
39100030;Resin (silicon)
39100090;Silicones in primary forms
39111010;Petroleum resin, coumarone, etc.with filler, primary form
39111020;Petroleum resin, coumarone, etc.without filler, prim.form
39111021;Other petroleum resins without charge, total or partially hydrogenated
39111029;Other petroleum resins without charge
39119011;Chemically modified polyterpenes, with filler, prim.forms
32030021;Cochineal(colouring matter)
38089324;Herbicide based on glyphosate/its salts, imazaquin, etc
44119310;Fibreboards of wood, not mechanically worked 0.5<d<0.8 g/cm3
44119390;Other fibreboards of wood or ligenous materials 0.5<d<0.8g/cm3
44119410;Fibreboards of wood, not mechanically worked d<0.5 g/cm3
44119490;Other fibreboards of wood or ligenous materials d<0.5g/cm3
44119900;Other fibreboard of wood
44121000;Plywood, veneered panels stratified and similar in bamboo
44121300;Plywood consist.sheets<=6mm, face of tropical wood
44121400;Plywood consist.sheets<=6mm, face of non-conferous wood
44121900;Other plywood consisting in sheets of thickness<=6mm
44122200;Oth.plywood, ply of non-conferous wood, layer trop.wood
38089321;Herbicide containing bromomethane or bromochloromethane
38089322;Herbicide based on 2, 4-dichlorophenoxiacetic, etc
38089323;Herbicide based on atrazine, alachlor, diuron or ametrine
32030029;Other coloring matter of animal origin
32030030;Prep.with a base colour.matter of veget./animal origin
32041100;Disperse dyes and its preparations
32041210;Acid dyes, whether or n/premetallized, and its preparat.
32041220;Mordant dyes and its preparations
39191020;Plates, sheets, foil, tape, strip and other flat shapes, self-adhesive, made of plastic, in rolls of a width not exceeding 20 cm, of poly (vinyl chloride)
39191090;Plates, sheets, foil, tape, strip and other flat shapes, self-adhesive, made of plastic, in rolls of a width not exceeding 20 cm, of other materials
39199000;Oth.plates, sheets, strip, etc.self-adhes.of plastics
39199010;Other plates, sheets, foil, tape, strip and other flat shapes, self-adhesive, of plastics, whether in rolls or not, of polypropylene
39199020;Other plates, sheets, foil, tape, strip and other flat shapes, self-adhesive, of plastics, whether in rolls or not, of poly (vinyl chloride)
39199090;Other plates, sheets, foil, tape, strip and other flat shapes, self-adhesive, made plastic, coiled or not, of other materials
39201000;Plates, etc.of polym.of ethylene, without sup.n/reinf.etc
40121200;Retreaded tires, of bus and truks
40121300;Retreaded tires, of aerial vehicles
37079030;Photosen.diazo compounds forthe prepar.of phot.emulsions
37079090;Other chemical preparations for photographic uses, etc
38011000;Artificial graphite
38012010;Semi-colloidal graphite in suspension in mineral oil
38012090;Other colloidal or semi-colloidal graphite
38013010;Carbonaceous pastes for electrodes
84561019;Oth.machine-tools oper.by laser, etc.of num.controlled
84715040;Digital proces.unit very big cap.etc.fob>us$100000
84715090;Ot.units digital proces.stor.unit input/1 input/output
84716011;Printers of impact, line
84716012;Printers of impact, (dot matrix printers)
84716013;Printers of impact, (braille printer)
52114100;Fabric of cot.<85%, colours/fibre synt/art.taf.w>200g/m2
52114210;Fabric of cot.<85%, indigo blue/fibre synt/art, w>200g/m2
55103013;Other yarn of artificial staple fibers, mixed mainly or solely with cotton, made from cellulose fibers, of lyocell
55103019;Other yarn of artificial staple fibers, mixed mainly or solely with cotton, made from cellulose fibers, of other materials
55103090;Other yarn of artificial staple fibers, mixed mainly or solely with cotton, made from fibers other than cellulose
55109000;Other yarns of artificial fibres
55109011;Other yarn of artificial staple fibers, made from cellulose fibers, viscose rayon, except modal
55109012;Other yarn of artificial staple fibers, made from cellulose fibers, viscose rayon, of modal
55109013;Other yarn of artificial staple fibers, made from cellulose fibers, viscose rayon, of lyocell
55109019;Other yarn of staple fibers, obtained from cellulose fibers, of other materials
55109090;Other yarn of staple fibers, obtained from fibers other than cellulose
32061111;Rutile pigments particle size of>=0.6 microns, c/modif.
32061119;Oth.rutile pigments, c/titanium dioxide>=80% dried
32061120;Ot.pigments containing titanium dioxide>=80% dried
32061121;Anatase pigments, cont.titanium dioxide>=80% dried
32061129;Other pigments containing titanium dioxide>=80% dried
32061130;Preparations based on titanium dioxide, weighing>=80%
32061910;Pigment consist.of mica coated w/titanium dioxide
32061990;Other pigments and prep.with a base of titanium dioxide
32062000;Pigments and preparations based on chromium compounds
32063000;Pigments and preparations based on cadmium compounds
32049000;Other synthetic organic colouring matter, etc.
32050000;Colour lakes and its preparations
32064100;Ultramarine and its preparations
32064210;Lithopone
37071000;Sensitising emulsions for photographic uses
37079010;Fixers for photographic uses
37079021;Developing based on carbon black, etc.fordoc.reproduction
37079029;Other developing for photographic uses
39151000;Wastem, parings and scrap, of polymers of ethylene
39152000;Wastem, parings and scrap, of polymers of styrene
39153000;Wastem, parings, etc.of polymers of vinyl chloride
39159000;Wastem, parings and scrap of other plastics
39161000;Monofilaments, etc.of polymers of ethylene
39162000;Monofilaments, etc.of polymers of vinyl chloride
39169010;Monofilaments, of other plastics
39169090;Sticks and profiles, of other plastics
39171010;Artificial guts of hardened protein
39171021;Artificial guts, of regenerate cellulose d>=150mm
39171029;Artificial guts of other cellulosic plastics
40112090;Other new tires for bus or trucks
40113000;New tires for airplanes
40114000;New tires for motocycles
40115000;New tires for bycicles
40116100;New tires, for vehicles, agricultural/forest machines
40116200;New tires, for vehicles, construc./indust.ring<=61 cm
36020000;Prepared explosives, other than propellent powders
36030000;Safety fuses/detonating fuses, percussion, deton.caps, etc
36041000;Fireworks
36049010;Signalling flares, against rain rockets and similars
48109900;Other paper/paperb., coated with kaolin, etc.rolls/sheets
35069900;Other glue and prepared adhesives
35071000;Rennet and concentrates thereof
35079011;Alpha-amylase (aspergillus oryzae)
35079019;Other amylase and concentrates thereof
35079021;Fibronucleases
35079022;Bromelain
55144100;Fabric polyest<85% with cotton, w>170g/m2, taf.printed
55144200;Fabric polyest<85% with cotton, w>170g/m2, twill, printed
55144300;Other fabrics polyester<85% with cot.w>170g/m2, printed
55144900;Other fabrics synt.fibr<85% with cot.w>170g/m2, printed
60041031;Tecidos de malha de fibra sint crus/branqueados l>30cm
60041032;Tecidos de malha de fibra sintetica tintos l>30cm
60041033;Tecidos de malha de fibra sint fios divers cores l>30cm
60041034;Tecidos de malha de fibra sintetica estampados l>30cm
60041040;Tecidos de malha de fibra artificiais l>30cm
84572010;Unit construction mach., f/working metals, of num.control
84572090;Other unit construction machines, f/working metals
84573010;Multi-station transfer mach., f/work.metals, of num.con.
84573090;Other multi-station transfer machines, f/work.metals
84581110;Horizon.lathes, f/work.metals, with num.com.type  revolve
84716042;"Other tracer graphs(""plotters""), wi>580mm"
84716049;"Other tracer graphs (""plotters"")"
84716051;Digitizing of images, f/autom.data-proces.machines
84716052;Keyboard f/autom.data-proces.machines
84716053;Indicators f/autom.data-proces.machines
84716054;Digitizing tables, f/autom.data-proces.machines
84716059;Other input units, f/autom.data-proces.machines
84716061;Terminal apparatus with keyboard alphanumeric mon.video
84716062;Terminal apparatus with keyboard alphan.poli-chr.video
84716071;Output unit by video, cathode-ray tubes monochrome
84716072;Output unit by video, cathode-ray tubes poli-chrome
84716073;Other output units by video, cathode-ray tube monochrome
31053010;Diammonium hydrogenorthophosphate arsenic>=6mg/kg
31053090;Other diammonium hydrogenorthophosphate
31054000;Ammonium dihydrogenorthophosphate, inc.mixtures hydr.etc
31055100;Fertilisers containing nitrate and phosphate
31055900;Other fertilisers cont.mineral/chemical c/nitrate/phosp
31056000;Fertilisers containing phosphorus and potassium
37024310;Films forgraphic arts, sen.unex.w>610mm, l>200m, rolls
37024320;Films polyesters heliog.sens.unex.w>61cm, l<=200m, rolls
37024390;Oth.films, n/perforated sen.unex.w>610mm, l>200m, rolls
37024410;Films forcolour photog., sen.unex.105<w<=610mm, in rolls
37024421;Films forgraphic arts, monoc.sen.unex.105<w<=610mm, rolls
37024422;Films of photopolymer, acrylic composit.sens.w>105mm, <610mm, for product. print. circuit
37024429;Oth.films monoc.sen.unex.105<w<=610mm, in rolls
38089999;Other rodenticides presented in another way
38140020;Other solvents/thinners, containing organic hydrochlorofluorocarbons
38140030;Other solvents/thinners, containing carbon tetrachloride
38140090;Other composite organic solvents and thinner, etc
38151100;Supported catalysts, active substance=nickel or comp.
38151200;Supported catalysts, active subst.=precious metal/comp.
38151210;Catalyst ceramic beehive/metallic forcatal.conver.forveh
38151220;Catalysts with particles of a size<500 microns
39081023;Polyamide-6 or polyamide-6, 6, with filler, in pieces, etc
39081024;Polyamide-6/polyamide-6, 6, without filler, in pieces, etc
38130040;Preparations and charges con bromochloromethane for fire-extinguishers
38130090;Preparations and charges for fire-extinguishers, grenades, etc.
38140000;Other composite organic solvents and thinners, etc.
38140010;Other solvents/thinners, containing chlorofluorocarbons (cfc)
40094210;Rubber tube vulc.reinfor.oth.mat.with fitt.r>=17
40094290;Oth.rubber tubes vulc.reinfor.oth.mater.with fittings
51052991;Other combed wool, of thinness<22.5 micrometers
51052999;Other combed wool
51053000;Fine animal hair, carded or combed
51053100;Fine animal hair, of kashmir(cashmere)goat, carded/combed
51053900;Other fine animal hair, carded or combed
52054600;Cotton yarn>=85%, twisted.fibr.comb.106.38d<=title<125d
52054700;Cotton yarn>=85%, twisted.fibr.comb.83.33d<=tit<106.38d
52054800;Cotton yarn>=85%, twisted.fibr.comb.title<83.33decitex
52061100;Cotton yarn<85%, simple, fibr.n/comb.title>=714.29dec.
54024920;Yarn of polyethylene, tenacity >= 26cn/tex
54024990;Other synthetic filament yarns, single, sprain<=50t/m
54025110;Yarn of aramid, single, twist>50 turns/meter
54025190;Yarn of nylon/other polyamides, single, twist>50t/m
54025200;Yarn of polyesters, single, twist>50turns/meter
54025900;Yarn of other synthetic filament, single, twist>50turns/m
52122200;Other fabrics of cotton, bleached, weight>200g/m2
55121100;Fabric of polyester fibres>=85%, raw or bleached
55121900;Fabric of other polyester fibres>=85%
55122100;Fabric of acrylics/modacrylics fibres>=85%, raw/bleach.
48026992;Other paper fibre mech.process>10%, kraft
48026999;Oth.paper/paberboard, fibre mec>10%
48030010;Cellulose wadding or webs of cellulose fibres
48030090;Paper kind used forhousehold or sanitary purposes.etc
48041100;"Paper/paperb.""kraftliner"", forcovering, raw, rolls/sheets"
43040000;Artificial fur and articles thereof
44011000;Firewood in any state
44012100;Coniferous wood, in chips or particles
44012200;Non-coniferous wood, in chips or particles
48025592;Kraft paper, fibre mech<=10%, 40g/m2<=w<=150g/m2
48025599;Oth.paper/paperboard fibre proc.mec<=10%, 40<=w<=150g/m2
48025610;Fibre paper mech<=10%, 40<=w<=150g/m2, sheets side<=360mm
48025691;Paper forimpr.banknote paper, fib.mec<=10%, 40<=w<=150g/m2
48025692;Drawing paper, fibre<=10%, 40<=w<=150g/m2, w<=435x297mm
48025693;Kraft paper, fibre<=10%, 40<=w<=150g/m2, w<=435x297mm
39069048;Copolymer of potassium acrylate and acrylic acid, capable of absorbing distilled water up to four hundred times its own weight
39071010;Polyacetals with fillers, in liquid and pastes
39071011;Polyacetals with fillers, in liquid and pastes
39071019;Polyacetals with fillers, in other primary forms
39071020;Polyacetals with fillers, in other primary forms
39071021;Polyacetals with fillers, in liquid and pastes
39071022;Polyacetals without fillers, in irreg.blocks etc.n/stab.
39071029;Polyacetals without fillers, in other primary forms
39071031;Polydextrose without fillers, in liquid and pastes
39071039;Polyacetals without fillers, in liquid and pastes
39071041;Polydextrose without fillers, in other primary forms
39071042;Ot.polyacetals without fillers, powd., pas.thro.ap.0, 85mm
39071049;Polyacetals without fillers, in other primary forms
39071090;Other polyacetals
30063015;Opacif.preparat.zirconium dioxide, etc.forx-ray examinat.
30063016;Opacif.preparat.sodium diatriazide, etc.forx-ray exam.
30063017;Opacif.preparat.w/base ioversol/iopromide forx-ray exam.
37012010;Film in the flat, instant print sen., unex.forcolour phot.
37012020;Film in the flat, instant print sen., unex.formonoch.phot.
37013010;Ot.plates/film flat, sen.unex.d>255mm forcolour phothog.
37013021;Aluminium plates/plane, sen.photos.polymers unex.d>255mm
30066000;Chemical contraceptive preparat.based on hormone/sperm.
30067000;Preparations in gel,  used surgical intervention, etc.
30068000;Pharmaceuticals waste
30069110;Plastic bags for colostomy, ileostomy, urostomy
30069190;Other identified equipment for use in ostomy
85171233;Mobile terminals of the  type used in vehicles/automobiles
85173050;Autom.central networking system f/telephonic, etc.
85173061;Dig. routers crossconect, granularity>=2mbits/s
85173062;Crossconect, serial connection speed>4mbits/s, etc
85173069;Other eletr. dig.routers crossconect to teleph./telegraph.
84524000;Furniture, bases and covers f/sewing mach., parts thereof
84529011;Thread-guides, shuttles, etc.f/sewing mach., domestic
84529019;Other parts of sewing machines, domestic
84529020;"Furniture,bases and covers f/ sewing machines;its parts"
84529081;Thread guides,shuttles and door-to-reels,sewing machine
